순번,id,slug,first_episode,pattern_ko,english,examples
1,"770","juseyo","1","~주세요","Give me ~, please.","[{""en"":""Water, please."",""ko"":""물 주세요.""},{""en"":""Please give me the menu."",""ko"":""메뉴판 주세요.""},{""en"":""Please give me the receipt."",""ko"":""영수증 주세요.""}]"
2,"771","mwoyeyo","1","~뭐예요?","What is ~?","[{""en"":""What is this?"",""ko"":""이거 뭐예요?""},{""en"":""What is that?"",""ko"":""저거 뭐예요?""},{""en"":""What is this food?"",""ko"":""이 음식 뭐예요?""}]"
3,"772","isseoyo","1","~있어요?","Is there ~? / Do you have ~?","[{""en"":""Is there Wi-Fi?"",""ko"":""와이파이 있어요?""},{""en"":""Is there a seat?"",""ko"":""자리 있어요?""},{""en"":""Is there a restroom?"",""ko"":""화장실 있어요?""}]"
4,"1383","ieyo-yeyo","1","~이에요/예요","is; am; are","[{""en"":""I'm a student."",""ko"":""저는 학생이에요.""},{""en"":""This is yuja tea."",""ko"":""이건 유자차예요.""},{""en"":""My name is Emma."",""ko"":""제 이름은 에마예요.""}]"
5,"773","eotteoke-gayo","2","~어떻게 가요?","How do I get to ~?","[{""en"":""How do I get to Hongdae?"",""ko"":""홍대 어떻게 가요?""},{""en"":""How do I get to Myeongdong?"",""ko"":""명동 어떻게 가요?""},{""en"":""How do I get to the airport?"",""ko"":""공항 어떻게 가요?""}]"
6,"774","gago-sipeoyo","2","~가고 싶어요","I want to go to ~.","[{""en"":""I want to go to Jeju Island."",""ko"":""제주도 가고 싶어요.""},{""en"":""I want to go to Hongdae!"",""ko"":""홍대 가고 싶어요!""},{""en"":""I want to go to the Han River."",""ko"":""한강 가고 싶어요.""}]"
7,"792","eodiseo-tayo","2","~어디서 타요?","Where do I catch ~?","[{""en"":""Where do I get on Line 2?"",""ko"":""2호선 어디서 타요?""},{""en"":""Where do I get on the bus?"",""ko"":""버스 어디서 타요?""},{""en"":""Where do I get on the airport bus?"",""ko"":""공항버스 어디서 타요?""}]"
8,"1379","euro","2","~으로","by; toward; with","[{""en"":""I go by subway."",""ko"":""지하철로 가요.""},{""en"":""Go to the right."",""ko"":""오른쪽으로 가세요.""},{""en"":""This is made with beans."",""ko"":""이건 콩으로 만들어요.""}]"
9,"793","meokgo-sipeoyo","3","~먹고 싶어요","I want to eat ~.","[{""en"":""I want to eat samgyeopsal!"",""ko"":""삼겹살 먹고 싶어요!""},{""en"":""I want to eat tteokbokki."",""ko"":""떡볶이 먹고 싶어요.""},{""en"":""I want to eat naengmyeon!"",""ko"":""냉면 먹고 싶어요!""}]"
10,"794","mot-meogeoyo","3","~못 먹어요","I can't eat ~.","[{""en"":""I can't eat shellfish."",""ko"":""조개 못 먹어요.""},{""en"":""I can't eat spicy food."",""ko"":""매운 거 못 먹어요.""},{""en"":""I can't eat pork."",""ko"":""돼지고기 못 먹어요.""}]"
11,"1386","hago","3","~하고","and; with","[{""en"":""Tteokbokki and sundae, please."",""ko"":""떡볶이하고 순대 주세요.""},{""en"":""I went with a friend."",""ko"":""친구하고 갔어요.""},{""en"":""Come with me."",""ko"":""저하고 같이 가요.""}]"
12,"776","ro-halkkeyo","4","~로 할게요","I'll have ~.","[{""en"":""I'll go with an Americano."",""ko"":""아메리카노로 할게요.""},{""en"":""I'll go with this one."",""ko"":""이걸로 할게요.""},{""en"":""I'll go with the large size."",""ko"":""큰 사이즈로 할게요.""}]"
13,"795","meogeodo-dwaeyo","4","~먹어도 돼요?","May I eat ~?","[{""en"":""Is it okay to eat here?"",""ko"":""여기서 먹어도 돼요?""},{""en"":""Is it okay to eat this?"",""ko"":""이거 먹어도 돼요?""},{""en"":""Is it okay to eat now?"",""ko"":""지금 먹어도 돼요?""}]"
14,"1374","bakke","4","~밖에","only (nothing but)","[{""en"":""I only have a thousand won."",""ko"":""천 원밖에 없어요.""},{""en"":""Only one person came."",""ko"":""한 명밖에 안 왔어요.""},{""en"":""This is all I can do."",""ko"":""이것밖에 못 해요.""}]"
15,"1388","eolmana-geollyeoyo","4","~얼마나 걸려요?","How long does ~ take?","[{""en"":""How long does it take from here?"",""ko"":""여기서 얼마나 걸려요?""},{""en"":""How long does it take to cook?"",""ko"":""요리하는 데 얼마나 걸려요?""},{""en"":""How long does it take by subway?"",""ko"":""지하철로 얼마나 걸려요?""}]"
16,"777","hae-bon-jeok","5","~해 본 적 있어요?","Have you ever ~?","[{""en"":""Have you ever tried samgyeopsal?"",""ko"":""삼겹살 먹어 본 적 있어요?""},{""en"":""Have you ever been to a noraebang?"",""ko"":""노래방 가 본 적 있어요?""},{""en"":""Have you ever worn a hanbok?"",""ko"":""한복 입어 본 적 있어요?""}]"
17,"778","chucheon-juseyo","5","~추천해 주세요","Please recommend ~.","[{""en"":""Please recommend samgyeopsal!"",""ko"":""삼겹살 추천해 주세요!""},{""en"":""Please recommend a café."",""ko"":""카페 추천해 주세요.""},{""en"":""Please recommend a Korean drama."",""ko"":""한국 드라마 추천해 주세요.""}]"
18,"779","jusil-su-isseoyo","5","~주실 수 있어요?","Could you ~?","[{""en"":""Could you take a photo for me?"",""ko"":""사진 찍어 주실 수 있어요?""},{""en"":""Could you help me?"",""ko"":""도와주실 수 있어요?""},{""en"":""Could you explain a bit more?"",""ko"":""조금 더 설명해 주실 수 있어요?""}]"
19,"1375","buteo-kkaji","5","~부터 ~까지","from ~ to ~","[{""en"":""I work from 9 to 6."",""ko"":""9시부터 6시까지 일해요.""},{""en"":""I'm going from Seoul to Busan."",""ko"":""서울부터 부산까지 가요.""},{""en"":""I watched it from start to finish."",""ko"":""처음부터 끝까지 다 봤어요.""}]"
20,"780","joahaeyo","6","~좋아해요","I like ~.","[{""en"":""I like K-pop!"",""ko"":""케이팝 좋아해요!""},{""en"":""I like Korean food."",""ko"":""한국 음식 좋아해요.""},{""en"":""I really like this song."",""ko"":""이 노래 정말 좋아해요.""}]"
21,"796","bulleodo-dwaeyo","6","~불러도 돼요?","May I sing ~? / May I call you ~?","[{""en"":""May I sing this song?"",""ko"":""이 노래 불러도 돼요?""},{""en"":""May I sing first?"",""ko"":""제가 먼저 불러도 돼요?""},{""en"":""Can I call you 언니 (older sister)?"",""ko"":""언니라고 불러도 돼요?""}]"
22,"797","tto-ogo-sipeoyo","6","또 오고 싶어요","I want to come here again.","[{""en"":""I want to come here again!"",""ko"":""또 오고 싶어요!""},{""en"":""I want to come back to Korea."",""ko"":""한국 또 오고 싶어요.""},{""en"":""I want to come back to this café!"",""ko"":""이 카페 또 오고 싶어요!""}]"
23,"1380","eullaeyo","6","~을래요?","would you like to?","[{""en"":""Would you like to go together?"",""ko"":""같이 갈래요?""},{""en"":""What would you like to drink?"",""ko"":""뭐 마실래요?""},{""en"":""Want to sing a song?"",""ko"":""한 곡 부를래요?""}]"
24,"781","singihaeyo","7","신기해요","That's fascinating.","[{""en"":""Korean culture is really fascinating!"",""ko"":""한국 문화 정말 신기해요!""},{""en"":""I've never seen this food before — it's fascinating."",""ko"":""이 음식 처음 봤는데 신기해요.""},{""en"":""It's fascinating how thorough the recycling is."",""ko"":""분리수거가 이렇게 철저하다니 신기해요.""}]"
25,"782","deo-juseyo","7","~더 주세요","More ~, please.","[{""en"":""Please give me more kimchi!"",""ko"":""김치 더 주세요!""},{""en"":""Please give me more water."",""ko"":""물 더 주세요.""},{""en"":""Please give me more side dishes."",""ko"":""반찬 더 주세요.""}]"
26,"783","kkakka-juseyo","7","~깎아 주세요","Could you lower the price?","[{""en"":""Please give me a small discount!"",""ko"":""조금 깎아 주세요!""},{""en"":""Please knock off just 1,000 won."",""ko"":""천 원만 깎아 주세요.""},{""en"":""Please give me a discount if I buy two."",""ko"":""두 개 사면 깎아 주세요.""}]"
